NAME,WEEKS
Zay Flowers,"[(1, 'KC', 0.0), (2, 'LV', 0.0), (5, 'CIN', 0.0), (6, 'WAS', 0.0), (8, 'CLE', 0.0), (9, 'DEN', 0.0), (11, 'PIT', 0.0), (12, 'LAC', 0.0)]"
Greg Dortch,"[(1, 'BUF', 0.0)]"
Bo Nix,"[(1, 'SEA', 0.0), (3, 'TB', 0.0), (5, 'LV', 0.0), (6, 'LAC', 0.0), (7, 'NO', 0.0), (8, 'CAR', 0.0), (9, 'BAL', 0.0), (10, 'KC', 0.0), (11, 'ATL', 0.0), (12, 'LV', 0.0)]"
Brayden Narveson,"[(1, 'PHI', 0.0), (3, 'TEN', 0.0)]"
Davante Adams,"[(1, 'LAC', 0.0), (2, 'BAL', 0.0), (9, 'HOU', 0.0), (11, 'IND', 0.0), (13, 'SEA', 0.0)]"
Jonathan Taylor,"[(1, 'HOU', 0.0), (2, 'GB', 0.0), (3, 'CHI', 0.0), (4, 'PIT', 0.0), (8, 'HOU', 0.0), (10, 'BUF', 0.0), (13, 'NE', 0.0)]"
Marvin Harrison Jr.,"[(2, 'LAR', 0.0), (3, 'DET', 0.0), (4, 'WAS', 0.0), (8, 'MIA', 0.0), (10, 'NYJ', 0.0), (13, 'MIN', 0.0)]"
DK Metcalf,"[(2, 'NE', 0.0), (3, 'MIA', 0.0), (4, 'DET', 0.0), (7, 'ATL', 0.0), (11, 'SF', 0.0)]"
Calvin Ridley,"[(2, 'NYJ', 0.0), (8, 'DET', 0.0), (9, 'NE', 0.0), (10, 'LAC', 0.0), (12, 'HOU', 0.0)]"
Jaxon Smith-Njigba,"[(2, 'NE', 0.0), (4, 'DET', 0.0), (5, 'NYG', 0.0), (8, 'BUF', 0.0), (9, 'LAR', 0.0), (11, 'SF', 0.0), (12, 'ARI', 0.0)]"
Amon-Ra St. Brown,"[(2, 'TB', 0.0), (3, 'ARI', 0.0), (4, 'SEA', 0.0), (6, 'DAL', 0.0), (7, 'MIN', 0.0), (9, 'GB', 0.0), (10, 'HOU', 0.0), (11, 'JAX', 0.0), (12, 'IND', 0.0)]"
Quentin Johnston,"[(2, 'CAR', 0.0), (3, 'PIT', 0.0), (9, 'CLE', 0.0), (10, 'TEN', 0.0), (11, 'CIN', 0.0)]"
Austin Seibert,"[(2, 'NYG', 0.0), (6, 'BAL', 0.0), (7, 'CAR', 0.0)]"
George Kittle,"[(2, 'MIN', 0.0), (4, 'NE', 0.0), (5, 'ARI', 0.0), (6, 'SEA', 0.0), (7, 'KC', 0.0), (8, 'DAL', 0.0), (10, 'TB', 0.0), (12, 'GB', 0.0)]"
Braelon Allen,"[(2, 'TEN', 0.0)]"
Hunter Henry,"[(2, 'SEA', 0.0), (6, 'HOU', 0.0), (7, 'JAX', 0.0), (9, 'TEN', 0.0), (11, 'LAR', 0.0), (13, 'IND', 0.0)]"
Trey McBride,"[(2, 'LAR', 0.0), (6, 'GB', 0.0), (7, 'LAC', 0.0), (8, 'MIA', 0.0), (9, 'CHI', 0.0), (10, 'NYJ', 0.0), (12, 'SEA', 0.0), (13, 'MIN', 0.0)]"
